#logback.classic pattern: %-30([%date{dd-MM-yyyy'T'HH:mm:ss.SSS} | %t]) %-10.10level %m%n%ex
[21-06-2023T21:12:54.917 | main] INFO       ... Log file instantiated, located at C:\Users\femia\Desktop\Project_Automation\BaseFrameWork\Password\Sample/execution-reports/Execution_Report-21-06-2023T21_12_33_000\Test(210621840)\execution_log.txt ...
[21-06-2023T21:12:54.941 | main] INFO       ... Initiating new Test Scenario: Test to verify User can Login with the correct Username and Password ...
[21-06-2023T21:12:54.942 | main] INFO       ... Configuring WebDriver ...
[21-06-2023T21:12:54.949 | main] INFO       ... Selenium run-time environment identified as "local" ...
[21-06-2023T21:12:54.951 | main] INFO       ... Configuring Desired Platform Capabilities for WebDriver ...
[21-06-2023T21:12:54.984 | main] INFO       ... Setting Windows Platform Capabilities: ...
[21-06-2023T21:12:54.988 | main] INFO       ... Configuring Desired Browser Capabilities for WebDriver ...
[21-06-2023T21:12:55.014 | main] INFO       ... Creating WebDriver for Chrome browser compatibility ...
[21-06-2023T21:12:58.804 | main] INFO       ... No browser tab currently allocated for the Login Page page ...
[21-06-2023T21:12:58.805 | main] INFO       ... Allocating the default (i.e. data:,) browser tab for the Login Page page ...
[21-06-2023T21:12:58.815 | main] INFO       ... Browser tab (29DA6B995FE506AF11D42CDC0328CFA7) allocated to the Login Page page ...
[21-06-2023T21:13:00.492 | main] INFO       ... Successful response: HTTP 200 from https://www.saucedemo.com/ ...
[21-06-2023T21:13:00.493 | main] INFO       ... Capturing Screenshot ...
[21-06-2023T21:13:01.827 | main] INFO       ... Capturing Screenshot ...
[21-06-2023T21:13:02.473 | main] INFO       ... Capturing Screenshot ...
[21-06-2023T21:13:03.531 | main] INFO       ... Capturing Screenshot ...
[21-06-2023T21:13:04.457 | main] INFO       ... Capturing Screenshot ...
[21-06-2023T21:13:05.173 | main] INFO       ... Capturing Screenshot ...
[21-06-2023T21:13:05.588 | main] INFO       ... SCENARIO PASSED ...
[21-06-2023T21:13:05.589 | main] INFO       ... Logging Scenario Pass in Test Evidence ...
[21-06-2023T21:13:05.590 | main] INFO       ... Capturing Pass Screenshot ...
[21-06-2023T21:13:05.949 | main] INFO       ... Shutting down WebDriver gracefully ...
[21-06-2023T21:13:06.539 | main] INFO       ... WebDriver killed ...
